accession	tissue_raw	tissue_category
SAMN22074176	leaf and stem	leaf
SAMN22074175	leaf and stem	leaf
SAMN22074174	leaf and stem	leaf
SAMN22074173	leaf and stem	leaf
SAMN22074172	leaf and stem	leaf
SAMN22074171	leaf and stem	leaf
SAMN22074170	leaf and stem	leaf
SAMN22074169	leaf and stem	leaf
SAMN22074168	leaf and stem	leaf
SAMN22074167	leaf and stem	leaf
SAMN22074166	leaf and stem	leaf
SAMN22074165	leaf and stem	leaf
SAMN22074164	leaf and stem	leaf
SAMN22074163	leaf and stem	leaf
SAMN22074162	leaf and stem	leaf
SAMN22074160	leaf and stem	leaf
SAMN22074159	leaf and stem	leaf
SAMN22074158	leaf and stem	leaf
SAMN22074157	leaf and stem	leaf
SAMN22074156	leaf and stem	leaf
SAMN22074154	leaf and stem	leaf
SAMN22074153	leaf and stem	leaf
SAMN22074152	leaf and stem	leaf
SAMN22074151	leaf and stem	leaf
SAMN22074150	leaf and stem	leaf
SAMN22074149	leaf and stem	leaf
SAMN22074148	leaf and stem	leaf
SAMN22074147	leaf and stem	leaf
SAMN22074146	leaf and stem	leaf
SAMN22074145	leaf and stem	leaf
SAMN22074144	leaf and stem	leaf
SAMN22074143	leaf and stem	leaf
SAMN22074142	leaf and stem	leaf
SAMN22074141	leaf and stem	leaf
SAMN22074139	leaf and stem	leaf
SAMN22074138	leaf and stem	leaf
SAMN22074137	leaf and stem	leaf
SAMN22074136	leaf and stem	leaf
SAMN17012820	shoot	aerial_other
SAMN17012819	shoot	aerial_other
SAMN17012818	shoot	aerial_other
SAMN17012817	shoot	aerial_other
SAMN17012816	shoot	aerial_other
SAMN17012815	shoot	aerial_other
SAMN17012814	shoot	aerial_other
SAMN17012813	shoot	aerial_other
SAMN17012812	shoot	aerial_other
SAMN17012811	shoot	aerial_other
SAMN17012810	shoot	aerial_other
SAMN17012809	shoot	aerial_other
SAMN17012796	shoot	aerial_other
SAMN17012795	shoot	aerial_other
SAMN17012794	shoot	aerial_other
SAMN17012793	shoot	aerial_other
SAMN17012792	shoot	aerial_other
SAMN17012791	shoot	aerial_other
SAMN17012790	shoot	aerial_other
SAMN17012789	shoot	aerial_other
SAMN17012788	shoot	aerial_other
SAMN17012787	shoot	aerial_other
SAMN17012786	shoot	aerial_other
SAMN17012785	shoot	aerial_other
SAMN17012749	shoot	aerial_other
SAMN17012748	shoot	aerial_other
SAMN17012747	shoot	aerial_other
SAMN17012746	shoot	aerial_other
SAMN17012745	shoot	aerial_other
SAMN17012744	shoot	aerial_other
SAMN17012743	shoot	aerial_other
SAMN17012742	shoot	aerial_other
SAMN17012741	shoot	aerial_other
SAMN17012740	shoot	aerial_other
SAMN17012739	shoot	aerial_other
SAMN17012738	shoot	aerial_other
SAMN17012725	shoot	aerial_other
SAMN17012724	shoot	aerial_other
SAMN17012723	shoot	aerial_other
SAMN17012722	shoot	aerial_other
SAMN17012721	shoot	aerial_other
SAMN17012720	shoot	aerial_other
SAMN17012719	shoot	aerial_other
SAMN17012718	shoot	aerial_other
SAMN17012717	shoot	aerial_other
SAMN17012716	shoot	aerial_other
SAMN17012715	shoot	aerial_other
SAMN17012714	shoot	aerial_other
SAMN26515363	flower	aerial_other
SAMN26515362	flower	aerial_other
SAMN26515361	flower	aerial_other
SAMN26515360	flower	aerial_other
SAMN26515359	flower	aerial_other
SAMN26421839	shoot	aerial_other
SAMN26421838	shoot	aerial_other
SAMN26421837	shoot	aerial_other
SAMN26421833	shoot	aerial_other
SAMN26421832	shoot	aerial_other
SAMN26421831	shoot	aerial_other
SAMN26421827	shoot	aerial_other
SAMN26421826	shoot	aerial_other
SAMN26421825	shoot	aerial_other
SAMN26421821	shoot	aerial_other
SAMN26421820	shoot	aerial_other
SAMN26421819	shoot	aerial_other
SAMN20032580	stem	aerial_other
SAMN20032579	leaf	leaf
SAMN20032577	stem	aerial_other
SAMN20032576	leaf	leaf
SAMN20032574	stem	aerial_other
SAMN20032573	leaf	leaf
SAMN19494244	Flower	aerial_other
SAMN19494243	Leaf	leaf
SAMN07500909	Leaf	leaf
SAMN07500908	Leaf	leaf
SAMN07500907	Leaf	leaf
SAMN07500906	Leaf	leaf
SAMN07500905	Leaf	leaf
SAMN07500904	Leaf	leaf
SAMN07500903	Leaf	leaf
SAMN07500902	Leaf	leaf
SAMN07500901	Leaf	leaf
SAMN07500900	Leaf	leaf
SAMN07500899	Leaf	leaf
SAMN07500898	Leaf	leaf
SAMN07500897	Leaf	leaf
SAMN07500896	Leaf	leaf
SAMN07500895	Leaf	leaf
SAMN07500894	Leaf	leaf
SAMN07500893	Leaf	leaf
SAMN07500892	Leaf	leaf
SAMN07500891	Leaf	leaf
SAMN07500890	Leaf	leaf
SAMN19836064	Leaf tissue	leaf
SAMN26135457	pollen tube	aerial_other
SAMN26135456	pollen tube	aerial_other
SAMN26135455	pollen tube	aerial_other
SAMN26135454	pollen tube	aerial_other
SAMN26135453	pollen tube	aerial_other
SAMN26135452	pollen tube	aerial_other
SAMN26135451	pollen tube	aerial_other
SAMN26135450	pollen tube	aerial_other
SAMN26135449	pollen tube	aerial_other
SAMN26135448	pollen tube	aerial_other
SAMN26135447	pollen tube	aerial_other
SAMN26135446	pollen tube	aerial_other
SAMN26090086	leaf	leaf
SAMN18043260	flower	aerial_other
SAMN18043259	flower	aerial_other
SAMN18043258	flower	aerial_other
SAMN18043257	flower	aerial_other
SAMN18043256	flower	aerial_other
SAMN18043255	flower	aerial_other
SAMN18043254	flower	aerial_other
SAMN18043253	flower	aerial_other
SAMN18043252	flower	aerial_other
SAMN18043251	flower	aerial_other
SAMN18043250	flower	aerial_other
SAMN18043249	flower	aerial_other
SAMN18043247	flower	aerial_other
SAMN18043246	flower	aerial_other
SAMN18043245	flower	aerial_other
SAMN18043244	flower	aerial_other
SAMN18043243	flower	aerial_other
SAMN18043242	flower	aerial_other
SAMN26000456	leaf	leaf
SAMN26000455	leaf	leaf
SAMN26000454	leaf	leaf
SAMN26000453	leaf	leaf
SAMN26000452	leaf	leaf
SAMN26000451	leaf	leaf
