BioProject	search	text	outcome
PRJNA1055939	Web search	Unpaywall PDF	Full text retrieved
PRJNA707596	No DOI found	No DOI	No full text available
PRJNA1108966	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1499897	No DOI found	No DOI	No full text available
PRJNA1140405	No DOI found	No DOI	No full text available
PRJNA705878	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1458989	No DOI found	No DOI	No full text available
PRJNA505891	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA757692	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1244272	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA761393	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA775969	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA527733	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA472465	No DOI found	No DOI	No full text available
PRJNA1474261	No DOI found	No DOI	No full text available
PRJNA870250	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1332781	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA850943	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1366440	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA946259	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA977635	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA641525	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA791339	NCBI (PMID)	PMC OA	Full text retrieved
PRJDB38620	No DOI found	No DOI	No full text available
PRJNA1065005	No DOI found	No DOI	No full text available
PRJNA746402	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA776741	No DOI found	No DOI	No full text available
PRJNA662919	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1191549	NCBI (PMID)	PMC OA	Full text retrieved
PRJEB67960	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1400105	No DOI found	No DOI	No full text available
PRJNA1328502	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA527782	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1318025	No DOI found	No DOI	No full text available
PRJNA977407	No DOI found	No DOI	No full text available
PRJNA573931	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA372374	No DOI found	No DOI	No full text available
PRJNA514418	No DOI found	No DOI	No full text available
PRJNA1013391	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1433507	No DOI found	No DOI	No full text available
PRJDB33989	No DOI found	No DOI	No full text available
PRJNA574559	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1402133	No DOI found	No DOI	No full text available
PRJNA484520	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA901343	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA976214	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA577523	Web search	PMC OA	Full text retrieved
PRJNA870262	No DOI found	No DOI	No full text available
PRJNA1335398	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA344473	No DOI found	No DOI	No full text available
PRJNA562779	No DOI found	No DOI	No full text available
PRJNA258891	No DOI found	No DOI	No full text available
PRJNA419139	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA418364	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA762295	No DOI found	No DOI	No full text available
PRJNA534209	No DOI found	No DOI	No full text available
PRJNA1243574	Web search	Manual PDF	Full text retrieved
PRJEB59062	Web search	PMC OA	Full text retrieved
PRJNA1431145	No DOI found	No DOI	No full text available
PRJNA1183537	NCBI (PMID)	PMC OA	Full text retrieved
PRJDB9515	No DOI found	No DOI	No full text available
PRJNA384934	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1189264	No DOI found	No DOI	No full text available
PRJNA589754	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA819185	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA692305	No DOI found	No DOI	No full text available
PRJNA506746	No DOI found	No DOI	No full text available
PRJNA1189193	Web search	Manual PDF	Full text retrieved
PRJNA972519	No DOI found	No DOI	No full text available
PRJNA762492	No DOI found	No DOI	No full text available
PRJNA1156920	No DOI found	No DOI	No full text available
PRJNA689117	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA838764	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1354640	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1475220	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA681878	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1366519	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA593073	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA480999	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1103978	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1397330	No DOI found	No DOI	No full text available
PRJNA1092346	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA982974	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA714375	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1471993	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA842823	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA728113	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA780900	No DOI found	No DOI	No full text available
PRJNA240676	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1305415	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1173312	No DOI found	No DOI	No full text available
PRJNA649398	No DOI found	No DOI	No full text available
PRJNA763773	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA636958	Web search	Unpaywall PDF	Full text retrieved
PRJNA843784	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1370671	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA667277	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1306308	No DOI found	No DOI	No full text available
PRJEB13569	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA761500	No DOI found	No DOI	No full text available
PRJNA1170567	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1161467	Web search	Manual PDF	Full text retrieved
PRJNA911587	Web search	Unpaywall PDF	Full text retrieved
PRJNA986440	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA842515	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA577532	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA891124	No DOI found	No DOI	No full text available
PRJNA759756	Web search	Unpaywall PDF	Full text retrieved
PRJNA395908	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA721299	NCBI (PMID)	PMC OA	Full text retrieved
