count	tissue
1	stem tip Pp_1
1	stem tip Pp_Pp_3
1	stem tip Pp_Pp_2
1	stem tip Pp_Pp_1
1	stem tip Pp_Pm_3
1	stem tip Pp_Pm_2
1	stem tip Pp_Pm_1
1	Buds
1	Flowers, leaves, stems
1	all tissue
1	Thallus
1	leaf-11
1	leaf-10
1	leaf-9
1	leaf-8
1	leaf-7
1	leaf-6
1	leaf-5
1	leaf-4
1	leaf-3
1	leaf-2
1	leaf-1
1	leaf-0
1	leaf_rep2
1	leaf_rep1
1	P5_360_3 Stems
1	P5_360_2 Stems
1	P5_360_1 Stems
1	P5_194_3 Stems
1	P5_194_2 Stems
1	P5_194_1 Stems
1	P4_360_3 Stems
1	P4_360_2 Stems
1	P4_360_1 Stems
1	P4_194_3 Stems
1	P4_194_2 Stems
1	P4_194_1 Stems
1	P3_360_3 Stems
1	P3_360_2 Stems
1	P3_360_1 Stems
1	P3_194_3 Stems
1	P3_194_2 Stems
1	P3_194_1 Stems
1	P2_360_3 Stems
1	P2_360_2 Stems
1	P2_360_1 Stems
1	P2_194_3 Stems
1	P2_194_2 Stems
1	P2_194_1 Stems
1	P1_360_3 Stems
1	P1_360_2 Stems
1	P1_360_1 Stems
1	P1_194_3 Stems
1	P1_194_2 Stems
1	P1_194_1 Stems
1	Mix of tissue, pooled into one sample. See description.
1	Leasf
1	branch
1	Different parts
1	leaf/petal
1	Fruiting
1	root, leaf, flower and fruit.
1	stems, leaves, flowers, buds and fruits
1	Silique
1	fresh young leaves in June, 2020
1	rhizome2
1	silca-dried leaves
1	Microspore
1	Fresh root
1	root tissue
1	root、stem、leaf、flower、shot tip5
1	root、stem、leaf、flower、shot tip4
1	root、stem、leaf、flower、shot tip3
1	root、stem、leaf、flower、shot tip2
1	root、stem、leaf、flower 、shot tip1
1	budyoung fruit young leaf mix
1	leafe
1	Buds, young fruit, young leaves
1	Cells
1	Stems, leaves, flowers and fruits
1	Flowers and leaves
1	The whole plant
1	mix of roots, stems, leaves, flowers, and fruits
1	root and sterm
1	greenish leaf
1	brown leaf
1	equal parts leaf, petiole, flower
1	entire germinating seedling
1	phloem from storage root
1	xylem from storage root
1	needle.133
1	needle.132
1	needle.131
1	needle.130
1	needle.129
1	needle.128
1	needle.127
1	needle.126
1	needle.125
1	needle.124
1	needle.123
1	needle.122
1	needle.121
1	needle.120
1	needle.119
1	needle.118
1	needle.117
1	needle.116
1	needle.115
1	needle.114
1	needle.113
1	needle.112
1	needle.111
1	needle.110
1	needle.109
1	needle.108
1	needle.107
1	needle.106
1	needle.105
1	needle.104
1	needle.103
1	needle.102
1	needle.101
1	needle.100
1	needle.99
1	needle.98
1	needle.97
1	needle.96
1	needle.95
1	needle.94
1	needle.93
1	needle.92
1	needle.91
1	needle.90
1	needle.89
1	needle.88
1	needle.87
1	needle.86
1	needle.85
1	needle.84
1	needle.83
1	needle.82
1	needle.81
1	needle.80
1	needle.79
1	needle.78
1	needle.77
1	needle.76
1	needle.75
1	needle.74
1	needle.73
1	needle.72
1	needle.71
1	needle.70
1	needle.69
1	needle.68
1	needle.67
1	needle.66
1	needle.65
1	needle.64
1	needle.63
1	needle.62
1	needle.61
1	needle.60
1	needle.59
1	needle.58
1	needle.57
1	needle.56
1	needle.55
1	needle.54
1	needle.53
1	needle.52
1	needle.51
1	needle.50
1	needle.49
1	needle.48
1	needle.47
1	needle.46
1	needle.45
1	needle.44
1	needle.43
1	needle.42
1	needle.41
1	needle.40
1	needle.39
1	needle.38
1	needle.37
1	needle.36
1	needle.35
1	needle.34
1	needle.33
1	needle.32
1	needle.31
1	needle.30
1	needle.29
1	needle.28
1	needle.27
1	needle.26
1	needle.25
1	needle.24
1	needle.23
1	needle.22
1	needle.21
1	needle.20
1	needle.19
1	needle.18
1	needle.17
1	needle.16
1	needle.15
1	needle.14
1	needle.13
1	needle.12
1	needle.11
1	needle.10
1	needle.9
1	needle.8
1	needle.7
1	needle.6
1	needle.5
1	needle.4
1	needle.3
1	needle.2
1	needle.1
1	micro RNA
1	Shoot apical meristem
1	leaf DNA
1	Fresh tea leaves
1	Fruit leaves
1	tissues
1	dried flower buds
1	dried leaves
1	Soaking liquid of corn
1	Fiber
1	trichomes
1	Mix
1	Bulbs
