mode	Run	BioSample	BioProject	biosample_rep	sra_organism	stat_top_pathogen	stat_top_pct	meta_pathogen	mismatch_flag	bp_title
mal	ERR4315265	SAMEA7035907	PRJEB39201	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR6335679	SAMEA9434900	PRJEB46468	True	Fusarium oxysporum			fusarium oxysporum	stat_undetected	RNA-Seq of infected Tomato roots by the vascular wilt fungus Fusarium oxysporum
mal	ERR4315620	SAMEA7036263	PRJEB39201	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	SRR28892978	SAMN41205802	PRJNA1107791	True	Hyaloperonospora arabidopsidis			hyaloperonospora arabidopsidis	stat_undetected	Deciphering pathogenicity and development in obligate downy mildew pathogen using small RNA approach
mal	SRR2517428	SAMN04110536	PRJNA296894	True	Blumeria graminis			blumeria graminis	stat_undetected	Transcriptomic analysis of Blumeria graminis triticale on different hosts
mal	ERR13107212	SAMEA115577696	PRJEB75530	True	Fusarium graminearum PH-1			fusarium graminearum	stat_undetected	A spatial temporal RNA-seq of Fusarium graminearum during symptomless and symptomatic wheat infection
mal	ERR6335677	SAMEA9434896	PRJEB46468	True	Fusarium oxysporum			fusarium oxysporum	stat_undetected	RNA-Seq of infected Tomato roots by the vascular wilt fungus Fusarium oxysporum
mal	ERR4315434	SAMEA7036076	PRJEB39201	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	SRR35750214	SAMN52406072	PRJNA1338360	True	Listeria monocytogenes EGD-e	Listeria monocytogenes	6.85	listeria monocytogenes	all_match	Transcriptome analysis suggests the cell wall as the primary target of the antilisterial effect of carrots.
mal	SRR3750724	SAMN05363447	PRJNA328045	True	Plenodomus lingam	Leptosphaeria maculans	5.62	leptosphaeria maculans	both_conflict	Comparative Transcriptomic Analysis of Virulence Factors in Leptosphaeria maculans during Compatible and Incompatible Interactions with Canola.
mal	SRR364393	SAMN00754067	PRJNA148307	True	Colletotrichum higginsianum			colletotrichum higginsianum	stat_undetected	Lifestyle transitions in plant pathogenic Colletotrichum fungi deciphered by genome and transcriptome analyses.
mal	ERR12253008	SAMEA114594402	PRJEB68334	True	Blumeria graminis f. sp. tritici			blumeria graminis f. sp. tritici	stat_undetected	Multiple routes to fungicide resistance: Interaction of Cyp51 gene sequences, copy number and expression.
mal	SRR9127602	SAMN11860564	PRJNA355407	True	Pyricularia oryzae	Pyricularia oryzae 70-15	6.34	magnaporthe oryzae	meta_conflict	Genome sequencing and assembly of a wheat blast strain B71
mal	SRR9644714	SAMN12216783	PRJNA552738	True	Mycosarcoma maydis			ustilago maydis	stat_undetected	NRG1 as a regulator of pH adaptation in the Basidiomycota Ustilago maydis
mal	ERR4315248	SAMEA7035890	PRJEB39201	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	SRR29888332	SAMN42623530	PRJNA1137604	True	Botryosphaeria dothidea			botryosphaeria dothidea	stat_undetected	Co-Expression Network Analysis Suggests PacC Transcriptional Factor Involved in Botryosphaeria dothidea Pathogenicity in Chinese Hickory.
mal	ERR4315556	SAMEA7036199	PRJEB39201	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR4315295	SAMEA7035937	PRJEB39201	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	SRR28258139	SAMN40299580	PRJNA1085269	True	Aspergillus flavus	Aspergillus flavus	8.96		all_match	RNA-Seq of A. flavus at different temperature, water activity, and CO2 levels
mal	ERR4315494	SAMEA7036136	PRJEB39201	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Rust expression browser: an open source database for simultaneous analysis of host and pathogen gene expression profiles with expVIP.
mal	ERR5960072	SAMEA8804395	PRJEB45236	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Pathogenomic analyses of the South African Puccinia striiformis f. sp. tritici population
mal	SRR19018795	SAMN27865506	PRJNA832871	True	Phytophthora sojae	Phytophthora sojae	26.21	phytophthora sojae	all_match	Identification of a C2H2 Transcription Factor (PsCZF3) Associated with RxLR Effectors and Carbohydrate-Active Enzymes in Phytophthora sojae Based on WGCNA.
mal	SRR1562084	SAMN02943270	PRJNA256347	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Field pathogenomics of PST-infected wheat and triticale
mal	ERR5696244	SAMEA8550313	PRJEB44222	True	Phakopsora pachyrhizi			phakopsora pachyrhizi	stat_undetected	Sequencing of Phakopsora pachyrhizi isolate PpUFV02
mal	SRR34575278	SAMN50010365	PRJNA1292970	True	Puccinia graminis f. sp. tritici	Puccinia graminis	8.34		all_match	Sequencing of wheat stem rust isolates from Argentina and Uruguay
mal	SRR1562080	SAMN02943263	PRJNA256347	True	Puccinia striiformis f. sp. tritici			puccinia striiformis f. sp. tritici	stat_undetected	Field pathogenomics of PST-infected wheat and triticale
mal	SRR25865098	SAMN37220952	PRJNA1011491	True	Monilinia fructicola			monilinia fructicola	stat_undetected	Monilinia fructicola daylight vs darkness RNAseq
