Mode: HAL
NCBI_API_KEY set: yes
Runs from 01_sra:    559,328
STAT cache (shared): 304,311 entries total, 255,893 for this mode already cached
  Fetching STAT for 303,435 runs …
  [117,000/303,435] fetched  10:45:08
  [117,200/303,435] fetched  10:45:24
  [117,400/303,435] fetched  10:45:47
  [117,600/303,435] fetched  10:46:05
  STAT error ERR13658525: Failed after 5 retries: https://trace.ncbi.nlm.nih.gov/Traces/sra-db-be/run_taxonomy?acc=ERR13658525&cluster_name=public
  [117,800/303,435] fetched  10:46:32
  [118,000/303,435] fetched  10:46:49
  [118,200/303,435] fetched  10:47:10
  [118,400/303,435] fetched  10:47:32
  [118,600/303,435] fetched  10:47:56
  [118,800/303,435] fetched  10:48:17
  STAT error ERR13658513: Failed after 5 retries: https://trace.ncbi.nlm.nih.gov/Traces/sra-db-be/run_taxonomy?acc=ERR13658513&cluster_name=public
  [119,000/303,435] fetched  10:48:39
  [119,200/303,435] fetched  10:49:00
  [119,400/303,435] fetched  10:49:24
  [119,600/303,435] fetched  10:49:44
  [119,800/303,435] fetched  10:50:08
  [120,000/303,435] fetched  10:50:30
  [120,200/303,435] fetched  10:50:56
  [120,400/303,435] fetched  10:51:16
  [120,600/303,435] fetched  10:51:38
  [120,800/303,435] fetched  10:51:56
  [121,000/303,435] fetched  10:52:27
  [121,200/303,435] fetched  10:52:48
  [121,400/303,435] fetched  10:53:18
  [121,600/303,435] fetched  10:53:49
  [121,800/303,435] fetched  10:54:08
  [122,000/303,435] fetched  10:54:34
  [122,200/303,435] fetched  10:54:50
  [122,400/303,435] fetched  10:55:17
  [122,600/303,435] fetched  10:55:39
  [122,800/303,435] fetched  10:56:06
  [123,000/303,435] fetched  10:56:28
  STAT error ERR13658529: Failed after 5 retries: https://trace.ncbi.nlm.nih.gov/Traces/sra-db-be/run_taxonomy?acc=ERR13658529&cluster_name=public
  [123,200/303,435] fetched  10:56:52
  [123,400/303,435] fetched  10:57:12
  [123,600/303,435] fetched  10:57:35
  [123,800/303,435] fetched  10:57:56
  [124,000/303,435] fetched  10:58:24
  [124,200/303,435] fetched  10:58:42
  [124,400/303,435] fetched  10:59:06
  [124,600/303,435] fetched  10:59:28
  [124,800/303,435] fetched  10:59:48
  [125,000/303,435] fetched  11:00:14
  STAT error ERR13658517: Failed after 5 retries: https://trace.ncbi.nlm.nih.gov/Traces/sra-db-be/run_taxonomy?acc=ERR13658517&cluster_name=public
  [125,200/303,435] fetched  11:00:39
  [125,400/303,435] fetched  11:00:59
  [125,600/303,435] fetched  11:01:30
  [125,800/303,435] fetched  11:01:49
  [126,000/303,435] fetched  11:02:14
  [126,200/303,435] fetched  11:02:38
  [126,400/303,435] fetched  11:02:59
  [126,600/303,435] fetched  11:03:34
  [126,800/303,435] fetched  11:03:58
  [127,000/303,435] fetched  11:04:19
  [127,200/303,435] fetched  11:04:43
  [127,400/303,435] fetched  11:05:00
  [127,600/303,435] fetched  11:05:16
  [127,800/303,435] fetched  11:05:43
